transaction_id,affiliate_id,partner_id,transaction_date,memo,net_amount
TXN-100001,1058,104,2024-09-06,Base Program Rebate,450.91
TXN-100002,1116,103,2024-07-05,Base Program Rebate,293.81
TXN-100003,1131,103,2025-07-23,Base Program Rebate,8.57
TXN-100003,1131,103,2025-07-23,Q4 Promotional Tier Bonus,3.43
TXN-100004,1148,104,2025-10-23,Base Program Rebate,427.83
TXN-100005,1092,102,2024-11-09,Base Program Rebate,399.22
TXN-100006,1125,103,2024-12-26,Base Program Rebate,422.46
TXN-100007,1039,103,2024-05-02,Base Program Rebate,446.37
TXN-100007,1039,103,2024-05-02,Q4 Promotional Tier Bonus,178.55
TXN-100008,1130,105,2025-09-03,Base Program Rebate,171.59
TXN-100009,1037,103,2024-01-15,Base Program Rebate,425.54
TXN-100010,1064,102,2025-10-15,Base Program Rebate,521.41
TXN-100011,1112,104,2025-03-27,Base Program Rebate,206.07
TXN-100011,1112,104,2025-03-27,Q4 Promotional Tier Bonus,82.43
TXN-100012,1114,101,2025-08-13,Base Program Rebate,378.59
TXN-100013,1068,101,2024-09-11,Base Program Rebate,73.28
TXN-100014,1046,105,2025-01-24,Return Credit / Adjustment Note,-271.68
TXN-100015,1070,105,2025-09-27,Base Program Rebate,38.49
TXN-100015,1070,105,2025-09-27,Q4 Promotional Tier Bonus,15.39
TXN-100016,1017,102,2024-09-02,Base Program Rebate,106.35
TXN-100017,1131,104,2024-10-25,Base Program Rebate,22.0
TXN-100018,1016,102,2024-09-27,Base Program Rebate,473.23
TXN-100019,1098,101,2025-07-11,Base Program Rebate,136.82
TXN-100020,1013,102,2026-03-22,Base Program Rebate,186.3
TXN-100021,1024,104,2025-12-06,Base Program Rebate,184.19
TXN-100022,1101,101,2025-09-04,Base Program Rebate,26.32
TXN-100023,1018,102,2025-11-21,Return Credit / Adjustment Note,-501.98562345
TXN-100024,1146,103,2025-08-13,Base Program Rebate,26.54
TXN-100025,1058,102,2025-08-22,Base Program Rebate,262.94162345
TXN-100026,1093,103,2024-11-24,Base Program Rebate,402.91
