affiliate_id,affiliate_name,anomaly_type,latest_month,latest_amount,historical_avg,decline_pct,months_since_last_activity,gap_amount,feed_health_status,severity
1005,Davis Collision Center,Decline Alert,2026-04,213.48,815.65,73.83,,,,High
1016,South Christianport Auto Body,Decline Alert,2026-04,80.91,715.9,88.7,,,,High
1033,Jasonfort Auto Body,Decline Alert,2026-04,105.81,661.39,84.0,,,,High
1052,Meaganhaven Auto Body,Decline Alert,2026-04,160.41,882.02,81.81,,,,High
1090,Huff Collision Center,Decline Alert,2026-04,4.3,584.86,99.26,,,,High
1092,Tuckerborough Auto Body,Decline Alert,2026-04,201.18,864.3,76.72,,,,High
1117,Carr Collision Center,Decline Alert,2026-04,26.97,585.69,95.4,,,,High
1130,New Barry Auto Body,Decline Alert,2026-04,129.49,819.41,84.2,,,,High
1133,Diaz Collision Center,Decline Alert,2026-04,192.69,793.85,75.73,,,,High
1136,West Kimberlychester Auto Body,Decline Alert,2026-04,162.02,643.44,74.82,,,,High
1141,West Erik Auto Body,Decline Alert,2026-04,-84.25,787.95,110.69,,,,High
1002,Walker Collision Center,Never Active,,,,,,,,Medium
1007,Hoffman Collision Center,Never Active,,,,,,,,Medium
1009,Lisatown Auto Body,Never Active,,,,,,,,Medium
1010,Blake Collision Center,Dormant,2026-02,,,,2.0,,,Medium
1011,Moore Collision Center,Never Active,,,,,,,,Medium
1012,Petersonberg Auto Body,Never Active,,,,,,,,Medium
1014,South Colinstad Auto Body,Never Active,,,,,,,,Medium
1017,Calderon Collision Center,Dormant,2026-03,,,,1.0,,,Medium
1019,Lake Jeremyport Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1020,Galloway Collision Center,Never Active,,,,,,,,Medium
1023,West Michael Auto Body,Never Active,,,,,,,,Medium
1027,Nelsonside Auto Body,Never Active,,,,,,,,Medium
1028,Robinson Collision Center,Never Active,,,,,,,,Medium
1030,Port Antonio Auto Body,Never Active,,,,,,,,Medium
1031,Richardland Auto Body,Never Active,,,,,,,,Medium
1032,New Nancy Auto Body,Never Active,,,,,,,,Medium
1035,Thomas Collision Center,Never Active,,,,,,,,Medium
1038,Hurst Collision Center,Dormant,2026-03,,,,1.0,,,Medium
1042,Lake Ernest Auto Body,Never Active,,,,,,,,Medium
