affiliate_id,partner_id,rebate_month,expected_amount,actual_amount,gap_amount
1058,104,2024-09,,450.91,
1116,103,2024-07,,293.81,
1131,103,2025-07,,8.57,
1131,103,2025-07,,3.43,
1148,104,2025-10,,427.83,
1092,102,2024-11,,399.22,
1125,103,2024-12,,422.46,
1039,103,2024-05,,446.37,
1039,103,2024-05,,178.55,
1130,105,2025-09,,171.59,
1037,103,2024-01,,425.54,
1064,102,2025-10,,521.41,
1112,104,2025-03,,206.07,
1112,104,2025-03,,82.43,
1114,101,2025-08,,378.59,
1068,101,2024-09,,73.28,
1046,105,2025-01,,-271.68,
1070,105,2025-09,,38.49,
1070,105,2025-09,,15.39,
1017,102,2024-09,,106.35,
1131,104,2024-10,,22.0,
1016,102,2024-09,,473.23,
1098,101,2025-07,,136.82,
1013,102,2026-03,,186.3,
1024,104,2025-12,,184.19,
1101,101,2025-09,,26.32,
1018,102,2025-11,,-501.98562345,
1146,103,2025-08,,26.54,
1058,102,2025-08,,262.94162345,
1093,103,2024-11,,402.91,
1093,103,2024-11,,161.16,
1125,101,2025-04,,55.12,
1119,101,2025-11,,521.95,
1136,104,2025-10,,266.62,
1061,104,2025-12,,292.12,
1034,103,2025-07,,10.67,
1022,104,2024-04,,389.51,
1057,104,2025-05,,588.2,
1131,105,2026-02,,527.9,
1131,105,2026-02,,211.16,
1117,103,2026-04,,4.03,
1141,104,2024-06,,269.31,
1087,104,2024-11,,522.09,
1087,104,2024-11,,208.83,
1071,104,2025-12,,548.27462345,
1140,102,2025-05,,578.98262345,
1019,104,2024-04,,316.76,
1140,102,2024-03,,283.02,
1140,102,2024-03,,113.21,
1146,105,2025-01,,572.6,
1124,101,2025-09,,-43.38,
1018,104,2024-04,,456.82,
1068,101,2024-02,,196.31,
1052,105,2025-02,,340.64,
1087,105,2025-11,,146.4,
1087,105,2025-11,,58.56,
1003,104,2024-10,,407.37,
1130,103,2025-10,,577.31,
1088,104,2024-04,,-144.23,
1064,101,2026-04,,395.79,
1010,105,2026-02,,299.29,
1010,105,2026-02,,119.72,
1138,102,2025-09,,152.25,
1026,101,2025-10,,388.69,
1025,101,2024-10,,197.71,
1081,105,2025-05,,548.31,
1113,103,2026-02,,522.56,
1046,104,2026-04,,335.49,
1024,104,2025-01,,404.52,
1086,101,2025-11,,142.21,
1133,102,2025-10,,40.27,
1093,101,2024-05,,29.59462345,
1050,105,2024-05,,234.72,
1124,104,2025-08,,446.01,
1114,105,2025-02,,563.58,
1101,102,2025-01,,61.86,
1077,101,2025-02,,167.34,
1077,101,2025-02,,66.94,
1138,105,2024-01,,32.72062345,
1041,101,2026-04,,459.68,
1073,102,2026-03,,540.57,
1025,105,2024-09,,479.61,
1077,102,2025-08,,195.95,
1122,101,2026-02,,40.48,
1104,105,2024-08,,567.39,
1121,103,2025-04,,386.89612345,
1098,101,2025-05,,428.16,
1029,101,2024-05,,166.82,
1131,105,2024-10,,273.59,
1140,105,2026-01,,519.63,
1105,104,2025-03,,438.44,
1033,104,2024-03,,57.01,
1086,102,2025-07,,38.34,
1086,102,2025-07,,15.34,
1098,101,2024-10,,361.25,
1141,104,2024-08,,508.75,
1058,105,2024-08,,484.81512345,
1133,105,2024-01,,366.37,
1057,103,2024-12,,212.24,
1015,102,2026-01,,380.82,
1096,104,2024-12,,96.55,
1131,101,2024-02,,95.46,
1101,104,2025-05,,365.23,
1075,104,2024-04,,171.74,
1008,102,2025-02,,590.71,
1026,103,2024-10,,198.55,
1087,105,2025-12,,139.99,
1090,101,2025-03,,13.7,
1090,101,2025-03,,5.48,
1096,103,2024-04,,244.51,
1096,103,2024-04,,97.8,
1081,101,2025-03,,507.08,
1090,103,2026-02,,205.36,
1022,105,2025-06,,118.36,
1139,102,2024-08,,63.93,
1140,101,2024-06,,570.9,
1129,104,2025-11,,554.68,
1137,103,2024-06,,265.26,
1130,101,2024-12,,305.63,
1061,101,2025-10,,518.89,
1061,101,2025-10,,207.56,
1008,104,2026-04,,344.07,
1013,104,2024-04,,487.05262345,
1139,102,2024-02,,150.53,
1034,103,2025-01,,550.97,
1010,103,2024-03,,199.49,
1141,105,2024-06,,201.68,
1140,104,2024-05,,358.04,
1140,104,2024-05,,143.21,
1144,105,2024-04,,388.5,
1038,102,2024-12,,568.73,
1016,103,2026-03,,62.93,
1006,103,2026-02,,371.77,
1148,105,2026-04,,541.84,
1050,104,2025-09,,172.74,
1070,104,2024-07,,222.28512345,
1070,104,2024-07,,88.91,
1122,104,2024-06,,490.59,
1139,104,2025-01,,333.84,
1061,101,2026-02,,98.29,
1018,102,2026-04,,272.05,
1117,103,2024-08,,233.23,
1019,103,2026-03,,89.76,
1026,104,2025-04,,370.17,
1026,104,2025-04,,148.07,
1132,105,2025-03,,68.93,
1096,105,2025-04,,40.03,
1137,105,2025-08,,147.06,
1050,105,2025-03,,114.42,
1122,105,2025-06,,472.38,
1008,104,2025-01,,154.06,
1141,101,2026-03,,350.19,
1074,102,2026-04,,468.04,
1026,101,2026-01,,466.27,
1040,101,2024-11,,560.1891234500001,
